timepoint_id,timestamp,timeseries
20_Q4_3,2020050103,2020_Q4
20_Q4_4,2020050104,2020_Q4
20_Q4_5,2020050105,2020_Q4
20_Q4_6,2020050106,2020_Q4
20_Q4_7,2020050107,2020_Q4
20_Q4_8,2020050108,2020_Q4
20_Q4_9,2020050109,2020_Q4
20_Q4_10,2020050110,2020_Q4
20_Q4_11,2020050111,2020_Q4
20_Q4_12,2020050112,2020_Q4
20_Q4_13,2020050113,2020_Q4
20_Q4_14,2020050114,2020_Q4
20_Q4_15,2020050115,2020_Q4
20_Q4_16,2020050116,2020_Q4
20_Q4_17,2020050117,2020_Q4
20_Q4_18,2020050118,2020_Q4
20_Q4_19,2020050119,2020_Q4
20_Q4_20,2020050120,2020_Q4
20_Q4_21,2020050121,2020_Q4
20_Q4_22,2020050122,2020_Q4
20_Q4_23,2020050123,2020_Q4
25_Q1_0,2025050100,2025_Q1
25_Q1_1,2025050101,2025_Q1
25_Q1_2,2025050102,2025_Q1
25_Q1_3,2025050103,2025_Q1
25_Q1_4,2025050104,2025_Q1
25_Q1_5,2025050105,2025_Q1
25_Q1_6,2025050106,2025_Q1
25_Q1_7,2025050107,2025_Q1
25_Q1_8,2025050108,2025_Q1
25_Q1_9,2025050109,2025_Q1
25_Q1_10,2025050110,2025_Q1
25_Q1_11,2025050111,2025_Q1
25_Q1_12,2025050112,2025_Q1
25_Q1_13,2025050113,2025_Q1
25_Q1_14,2025050114,2025_Q1
25_Q1_15,2025050115,2025_Q1
25_Q1_16,2025050116,2025_Q1
25_Q1_17,2025050117,2025_Q1
25_Q1_18,2025050118,2025_Q1
25_Q1_19,2025050119,2025_Q1
25_Q1_20,2025050120,2025_Q1
25_Q1_21,2025050121,2025_Q1
25_Q1_22,2025050122,2025_Q1
25_Q1_23,2025050123,2025_Q1
25_Q2_0,2025050100,2025_Q2
25_Q2_1,2025050101,2025_Q2
25_Q2_2,2025050102,2025_Q2
25_Q2_3,2025050103,2025_Q2
25_Q2_4,2025050104,2025_Q2
25_Q2_5,2025050105,2025_Q2
25_Q2_6,2025050106,2025_Q2
25_Q2_7,2025050107,2025_Q2
25_Q2_8,2025050108,2025_Q2
25_Q2_9,2025050109,2025_Q2
25_Q2_10,2025050110,2025_Q2
25_Q2_11,2025050111,2025_Q2
25_Q2_12,2025050112,2025_Q2
25_Q2_13,2025050113,2025_Q2
25_Q2_14,2025050114,2025_Q2
25_Q2_15,2025050115,2025_Q2
