hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
DARIO_VALENC,2020_Q4,44,87
EL_QUIMBO,2020_Q4,117,229
ESMERALDA,2020_Q4,9,17
EXP_HID_1,2020_Q4,104,203
GUADALUPE_3,2020_Q4,80,156
GUADALUPE_4,2020_Q4,60,117
GUATAPE,2020_Q4,165,324
GUAVIO,2020_Q4,368,723
INSULA,2020_Q4,6,11
JAGUAS,2020_Q4,50,98
LA_GUACA,2020_Q4,96,187
LA_TASAJERA,2020_Q4,90,177
LAGUN-LIMON,2020_Q4,5,10
MIEL_I,2020_Q4,117,229
MIEL_II,2020_Q4,34,68
PAJARITO,2020_Q4,1,3
PARAISO,2020_Q4,81,160
PESCADERO,2020_Q4,88,173
PLAYAS,2020_Q4,61,120
PORCE_II,2020_Q4,119,234
PORCE_III,2020_Q4,206,405
PRADO,2020_Q4,14,27
PRADO4,2020_Q4,1,3
RIOGRANDE_1,2020_Q4,6,11
SALTO_II,2020_Q4,10,20
SALVAJINA,2020_Q4,84,165
SAN_CARLOS,2020_Q4,366,717
SAN_FRANCISCO,2020_Q4,40,78
SNMIGUEL,2020_Q4,13,25
SOGAMOSO,2020_Q4,241,473
TRONERAS,2020_Q4,12,23
TUNJITA,2020_Q4,6,12
URRA,2020_Q4,100,195
ALTOANCHICAY,2025_Q1,98,191
AMOYA,2025_Q1,22,43
BAJOANCHICAY,2025_Q1,20,40
BETANIA,2025_Q1,148,291
C_LLERAS_R,2025_Q1,21,42
CALDERAS,2025_Q1,5,11
CALIMA,2025_Q1,36,71
CHIVOR,2025_Q1,275,539
CUCUANA,2025_Q1,16,32
DARIO_VALENC,2025_Q1,41,81
EL_QUIMBO,2025_Q1,109,213
ESMERALDA,2025_Q1,8,16
EXP_HID_1,2025_Q1,97,190
GUADALUPE_3,2025_Q1,74,146
GUADALUPE_4,2025_Q1,56,109
GUATAPE,2025_Q1,154,302
GUAVIO,2025_Q1,344,674
INSULA,2025_Q1,5,10
JAGUAS,2025_Q1,47,92
LA_GUACA,2025_Q1,89,175
LA_TASAJERA,2025_Q1,84,165
LAGUN-LIMON,2025_Q1,5,10
MIEL_I,2025_Q1,109,213
MIEL_II,2025_Q1,32,63
PAJARITO,2025_Q1,1,3
PARAISO,2025_Q1,76,149
