fuel,load_zone,fuel_cost,period
termosierra_fo2,ANT-CHO,21.03146696,2040
termosierra_fo2,ANT-CHO,21.93146696,2045
NONE,ANT-CHO,0.23,2020
NONE,ANT-CHO,0.23,2025
NONE,ANT-CHO,0.23,2030
NONE,ANT-CHO,0.23,2035
NONE,ANT-CHO,0.23,2040
NONE,ANT-CHO,0.23,2045
barranquilla_gas,BOLIVAR,5.912366753,2020
barranquilla_gas,BOLIVAR,8.368309657,2025
barranquilla_gas,BOLIVAR,9.572650992,2030
barranquilla_gas,BOLIVAR,10.47265099,2035
barranquilla_gas,BOLIVAR,11.37265099,2040
barranquilla_gas,BOLIVAR,12.27265099,2045
cartagena_gas,BOLIVAR,26.53949153,2020
cartagena_gas,BOLIVAR,8.094590164,2025
cartagena_gas,BOLIVAR,9.298571429,2030
cartagena_gas,BOLIVAR,10.39857143,2035
cartagena_gas,BOLIVAR,11.49857143,2040
cartagena_gas,BOLIVAR,12.59857143,2045
cartagena_fo6,BOLIVAR,9.797833611,2020
cartagena_fo6,BOLIVAR,15.22831774,2025
cartagena_fo6,BOLIVAR,17.43503647,2030
cartagena_fo6,BOLIVAR,19.33503647,2035
cartagena_fo6,BOLIVAR,21.23503647,2040
cartagena_fo6,BOLIVAR,23.13503647,2045
flores_fo2,BOLIVAR,18.17073789,2020
flores_fo2,BOLIVAR,17.72521917,2025
flores_fo2,BOLIVAR,18.74197181,2030
flores_fo2,BOLIVAR,19.24197181,2035
flores_fo2,BOLIVAR,19.74197181,2040
flores_fo2,BOLIVAR,20.24197181,2045
NONE,BOLIVAR,0.23,2020
NONE,BOLIVAR,0.23,2025
NONE,BOLIVAR,0.23,2030
NONE,BOLIVAR,0.23,2035
NONE,BOLIVAR,0.23,2040
NONE,BOLIVAR,0.23,2045
candelaria_fo2,BOLIVAR,18.07929461,2020
candelaria_fo2,BOLIVAR,17.63360577,2025
candelaria_fo2,BOLIVAR,18.65126712,2030
candelaria_fo2,BOLIVAR,19.35126712,2035
candelaria_fo2,BOLIVAR,20.05126712,2040
candelaria_fo2,BOLIVAR,20.75126712,2045
barranquilla_gas,ATLANTICO,5.912366753,2020
barranquilla_gas,ATLANTICO,8.368309657,2025
barranquilla_gas,ATLANTICO,9.572650992,2030
barranquilla_gas,ATLANTICO,10.47265099,2035
barranquilla_gas,ATLANTICO,11.37265099,2040
barranquilla_gas,ATLANTICO,12.27265099,2045
barranquilla_fo6,ATLANTICO,15.10968936,2020
barranquilla_fo6,ATLANTICO,15.3111471,2025
barranquilla_fo6,ATLANTICO,17.51717619,2030
barranquilla_fo6,ATLANTICO,18.41717619,2035
barranquilla_fo6,ATLANTICO,19.31717619,2040
barranquilla_fo6,ATLANTICO,20.21717619,2045
flores_gas,ATLANTICO,5.921676822,2020
flores_gas,ATLANTICO,8.368219862,2025
