load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw
NSANT,35_Q3_7,574.202,0,-244.206,329.996
NSANT,35_Q3_8,634.682,0,-279.294,355.388
NSANT,35_Q3_9,660.836,0,-299.526,361.31
NSANT,35_Q3_10,676.48,0,-303.533,372.947
NSANT,35_Q3_11,683.152,0,-315.703,367.449
NSANT,35_Q3_12,679.007,0,-319.815,359.191
NSANT,35_Q3_13,670.308,0,-307.096,363.212
NSANT,35_Q3_14,666.082,0,-302.653,363.429
NSANT,35_Q3_15,646.309,0,-288.725,357.583
NSANT,35_Q3_16,611.137,0,-247.708,363.429
NSANT,35_Q3_17,553.301,0,-165.534,387.767
NSANT,35_Q3_18,537.109,0,-117.614,419.495
NSANT,35_Q3_19,533.787,0,-126.136,407.651
NSANT,35_Q3_20,530.465,0,-159.213,371.252
NSANT,35_Q3_21,519.009,0,-183.939,335.07
NSANT,35_Q3_22,505.469,0,-210.601,294.868
NSANT,35_Q3_23,500.627,0,-225.861,274.767
NSANT,35_Q4_0,494.845,0,-230.737,264.107
NSANT,35_Q4_1,482.7,0,-229.597,253.103
NSANT,35_Q4_2,480.396,0,-235.154,245.243
NSANT,35_Q4_3,480.137,0,-219.174,260.963
NSANT,35_Q4_4,480.923,0,-208.381,272.542
NSANT,35_Q4_5,485.642,0,-202.754,282.887
NSANT,35_Q4_6,501.981,0,-209.576,292.405
NSANT,35_Q4_7,562.627,0,-240.023,322.603
NSANT,35_Q4_8,627.327,0,-279.9,347.427
NSANT,35_Q4_9,659.428,0,-306.212,353.216
NSANT,35_Q4_10,672.544,0,-307.952,364.592
NSANT,35_Q4_11,680.614,0,-321.396,359.218
NSANT,35_Q4_12,687.91,0,-336.765,351.145
NSANT,35_Q4_13,678.9,0,-323.825,355.075
NSANT,35_Q4_14,666.887,0,-311.6,355.287
NSANT,35_Q4_15,633.925,0,-284.353,349.573
NSANT,35_Q4_16,591.033,0,-235.746,355.287
NSANT,35_Q4_17,538.058,0,-158.978,379.081
NSANT,35_Q4_18,524.328,0,-114.23,410.098
NSANT,35_Q4_19,518.271,0,-119.751,398.519
