PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,CapacityRequirements
system-planning,554,10694.50265237
system-planning,555,10362.375241194997
system-planning,556,11026.630062969998
system-planning,557,11515.853740724999
system-planning,558,11952.999839715
system-planning,559,12355.139710200001
system-planning,560,13631.140011279998
system-planning,561,14680.031589919998
system-planning,562,14924.643428280002
system-planning,563,15405.331432055
system-planning,564,15178.222708809999
system-planning,565,14837.127856154999
system-planning,566,15003.191562145
system-planning,567,15012.15900167
system-planning,568,14770.702374724999
system-planning,569,15012.15900167
system-planning,570,16017.508676789996
system-planning,571,17328.08344359
system-planning,572,16838.859765375
system-planning,573,15335.318973549998
system-planning,574,13840.74562171
system-planning,575,12180.108563189999
system-planning,576,11349.790034734999
