PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,AvailableReserveCapacity
system-planning,297,19747.949999999997
system-planning,298,19747.949999999997
system-planning,299,19747.949999999997
system-planning,300,19747.949999999997
system-planning,301,19747.949999999997
system-planning,302,19747.949999999997
system-planning,303,19747.949999999997
system-planning,304,19747.949999999997
system-planning,305,19747.949999999997
system-planning,306,19747.949999999997
system-planning,307,19747.949999999997
system-planning,308,19747.949999999997
system-planning,309,19747.949999999997
system-planning,310,19747.949999999997
system-planning,311,19747.949999999997
system-planning,312,19747.949999999997
system-planning,313,19747.949999999997
system-planning,314,19747.949999999997
system-planning,315,19747.949999999997
system-planning,316,19747.949999999997
system-planning,317,19747.949999999997
system-planning,318,19747.949999999997
system-planning,319,19747.949999999997
system-planning,320,19747.949999999997
system-planning,321,19747.949999999997
system-planning,322,19747.949999999997
system-planning,323,19747.949999999997
system-planning,324,19747.949999999997
system-planning,325,19747.949999999997
system-planning,326,19747.949999999997
system-planning,327,19747.949999999997
system-planning,328,19747.949999999997
system-planning,329,19747.949999999997
system-planning,330,19747.949999999997
system-planning,331,19747.949999999997
system-planning,332,19747.949999999997
system-planning,333,19747.949999999997
system-planning,334,19747.949999999997
system-planning,335,19747.949999999997
system-planning,336,19747.949999999997
system-planning,337,19747.949999999997
system-planning,338,19747.949999999997
system-planning,339,19747.949999999997
system-planning,340,19747.949999999997
system-planning,341,19747.949999999997
system-planning,342,19747.949999999997
system-planning,343,19747.949999999997
system-planning,344,19747.949999999997
system-planning,345,19747.949999999997
system-planning,346,19747.949999999997
system-planning,347,19747.949999999997
system-planning,348,19747.949999999997
system-planning,349,19747.949999999997
system-planning,350,19747.949999999997
system-planning,351,19747.949999999997
system-planning,352,19747.949999999997
system-planning,353,19747.949999999997
system-planning,354,19747.949999999997
system-planning,355,19747.949999999997
system-planning,356,19747.949999999997
system-planning,357,19747.949999999997
system-planning,358,19747.949999999997
system-planning,359,19747.949999999997
system-planning,360,19747.949999999997
system-planning,361,19747.949999999997
system-planning,362,19747.949999999997
system-planning,363,19747.949999999997
system-planning,364,19747.949999999997
system-planning,365,19747.949999999997
system-planning,366,19747.949999999997
system-planning,367,19747.949999999997
system-planning,368,19747.949999999997
system-planning,369,19747.949999999997
system-planning,370,19747.949999999997
system-planning,371,19747.949999999997
system-planning,372,19747.949999999997
system-planning,373,19747.949999999997
system-planning,374,19747.949999999997
system-planning,375,19747.949999999997
system-planning,376,19747.949999999997
system-planning,377,19747.949999999997
system-planning,378,19747.949999999997
system-planning,379,19747.949999999997
system-planning,380,19747.949999999997
system-planning,381,19747.949999999997
system-planning,382,19747.949999999997
system-planning,383,19747.949999999997
system-planning,384,19747.949999999997
system-planning,385,19787.949999999997
system-planning,386,19787.949999999997
system-planning,387,19787.949999999997
system-planning,388,19787.949999999997
system-planning,389,19787.949999999997
system-planning,390,19787.949999999997
system-planning,391,19787.949999999997
system-planning,392,19787.949999999997
system-planning,393,19787.949999999997
system-planning,394,19787.949999999997
system-planning,395,19787.949999999997
system-planning,396,19787.949999999997
system-planning,397,19787.949999999997
system-planning,398,19787.949999999997
system-planning,399,19787.949999999997
system-planning,400,19787.949999999997
system-planning,401,19787.949999999997
system-planning,402,19787.949999999997
system-planning,403,19787.949999999997
system-planning,404,19787.949999999997
system-planning,405,19787.949999999997
system-planning,406,19787.949999999997
system-planning,407,19787.949999999997
system-planning,408,19787.949999999997
system-planning,409,19787.949999999997
system-planning,410,19787.949999999997
system-planning,411,19787.949999999997
system-planning,412,19787.949999999997
system-planning,413,19787.949999999997
system-planning,414,19787.949999999997
system-planning,415,19787.949999999997
system-planning,416,19787.949999999997
system-planning,417,19787.949999999997
system-planning,418,19787.949999999997
system-planning,419,19787.949999999997
system-planning,420,19787.949999999997
system-planning,421,19787.949999999997
system-planning,422,19787.949999999997
system-planning,423,19787.949999999997
system-planning,424,19787.949999999997
system-planning,425,19787.949999999997
system-planning,426,19787.949999999997
system-planning,427,19787.949999999997
system-planning,428,19787.949999999997
system-planning,429,19787.949999999997
system-planning,430,19787.949999999997
system-planning,431,19787.949999999997
system-planning,432,19787.949999999997
system-planning,433,19787.949999999997
system-planning,434,19787.949999999997
system-planning,435,19787.949999999997
system-planning,436,19787.949999999997
system-planning,437,19787.949999999997
system-planning,438,19787.949999999997
system-planning,439,19787.949999999997
system-planning,440,19787.949999999997
system-planning,441,19787.949999999997
system-planning,442,19787.949999999997
system-planning,443,19787.949999999997
system-planning,444,19787.949999999997
system-planning,445,19787.949999999997
system-planning,446,19787.949999999997
system-planning,447,19787.949999999997
system-planning,448,19787.949999999997
system-planning,449,19787.949999999997
system-planning,450,19787.949999999997
system-planning,451,19787.949999999997
system-planning,452,19787.949999999997
system-planning,453,19787.949999999997
system-planning,454,19787.949999999997
system-planning,455,19787.949999999997
system-planning,456,19787.949999999997
system-planning,457,19787.949999999997
system-planning,458,19787.949999999997
system-planning,459,19787.949999999997
system-planning,460,19787.949999999997
system-planning,461,19787.949999999997
system-planning,462,19787.949999999997
system-planning,463,19787.949999999997
system-planning,464,19787.949999999997
system-planning,465,19787.949999999997
system-planning,466,19787.949999999997
system-planning,467,19787.949999999997
system-planning,468,19787.949999999997
system-planning,469,19787.949999999997
system-planning,470,19787.949999999997
system-planning,471,19787.949999999997
system-planning,472,19787.949999999997
system-planning,473,19787.949999999997
system-planning,474,19787.949999999997
system-planning,475,19787.949999999997
system-planning,476,19787.949999999997
system-planning,477,19787.949999999997
system-planning,478,19787.949999999997
system-planning,479,19787.949999999997
system-planning,480,19787.949999999997
system-planning,481,19827.949999999997
system-planning,482,19827.949999999997
system-planning,483,19827.949999999997
system-planning,484,19827.949999999997
system-planning,485,19827.949999999997
system-planning,486,19827.949999999997
system-planning,487,19827.949999999997
system-planning,488,19827.949999999997
system-planning,489,19827.949999999997
system-planning,490,19827.949999999997
system-planning,491,19827.949999999997
system-planning,492,19827.949999999997
system-planning,493,19827.949999999997
system-planning,494,19827.949999999997
system-planning,495,19827.949999999997
system-planning,496,19827.949999999997
system-planning,497,19827.949999999997
system-planning,498,19827.949999999997
system-planning,499,19827.949999999997
system-planning,500,19827.949999999997
system-planning,501,19827.949999999997
system-planning,502,19827.949999999997
system-planning,503,19827.949999999997
system-planning,504,19827.949999999997
system-planning,505,19827.949999999997
system-planning,506,19827.949999999997
system-planning,507,19827.949999999997
system-planning,508,19827.949999999997
system-planning,509,19827.949999999997
system-planning,510,19827.949999999997
system-planning,511,19827.949999999997
system-planning,512,19827.949999999997
system-planning,513,19827.949999999997
system-planning,514,19827.949999999997
system-planning,515,19827.949999999997
system-planning,516,19827.949999999997
system-planning,517,19827.949999999997
system-planning,518,19827.949999999997
system-planning,519,19827.949999999997
system-planning,520,19827.949999999997
system-planning,521,19827.949999999997
system-planning,522,19827.949999999997
system-planning,523,19827.949999999997
system-planning,524,19827.949999999997
system-planning,525,19827.949999999997
system-planning,526,19827.949999999997
system-planning,527,19827.949999999997
system-planning,528,19827.949999999997
system-planning,529,19827.949999999997
system-planning,530,19827.949999999997
system-planning,531,19827.949999999997
system-planning,532,19827.949999999997
system-planning,533,19827.949999999997
system-planning,534,19827.949999999997
system-planning,535,19827.949999999997
system-planning,536,19827.949999999997
system-planning,537,19827.949999999997
system-planning,538,19827.949999999997
system-planning,539,19827.949999999997
system-planning,540,19827.949999999997
system-planning,541,19827.949999999997
system-planning,542,19827.949999999997
system-planning,543,19827.949999999997
system-planning,544,19827.949999999997
system-planning,545,19827.949999999997
system-planning,546,19827.949999999997
system-planning,547,19827.949999999997
system-planning,548,19827.949999999997
system-planning,549,19827.949999999997
system-planning,550,19827.949999999997
system-planning,551,19827.949999999997
system-planning,552,19827.949999999997
system-planning,553,19827.949999999997
system-planning,554,19827.949999999997
system-planning,555,19827.949999999997
system-planning,556,19827.949999999997
system-planning,557,19827.949999999997
system-planning,558,19827.949999999997
system-planning,559,19827.949999999997
system-planning,560,19827.949999999997
system-planning,561,19827.949999999997
system-planning,562,19827.949999999997
system-planning,563,19827.949999999997
system-planning,564,19827.949999999997
system-planning,565,19827.949999999997
system-planning,566,19827.949999999997
system-planning,567,19827.949999999997
system-planning,568,19827.949999999997
system-planning,569,19827.949999999997
system-planning,570,19827.949999999997
system-planning,571,19827.949999999997
system-planning,572,19827.949999999997
system-planning,573,19827.949999999997
system-planning,574,19827.949999999997
system-planning,575,19827.949999999997
system-planning,576,19827.949999999997
