BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingencyUp
system_wide_balancing_area,533,1.0
system_wide_balancing_area,534,1.0
system_wide_balancing_area,535,1.0
system_wide_balancing_area,536,1.0
system_wide_balancing_area,537,1.0
system_wide_balancing_area,538,1.0
system_wide_balancing_area,539,1.0
system_wide_balancing_area,540,1.0
system_wide_balancing_area,541,1.0
system_wide_balancing_area,542,1.0
system_wide_balancing_area,543,1.0
system_wide_balancing_area,544,1.0
system_wide_balancing_area,545,1.0
system_wide_balancing_area,546,1.0
system_wide_balancing_area,547,1.0
system_wide_balancing_area,548,1.0
system_wide_balancing_area,549,1.0
system_wide_balancing_area,550,1.0
system_wide_balancing_area,551,1.0
system_wide_balancing_area,552,1.0
system_wide_balancing_area,553,1.0
system_wide_balancing_area,554,1.0
system_wide_balancing_area,555,1.0
system_wide_balancing_area,556,1.0
system_wide_balancing_area,557,1.0
system_wide_balancing_area,558,1.0
system_wide_balancing_area,559,1.0
system_wide_balancing_area,560,1.0
system_wide_balancing_area,561,1.0
system_wide_balancing_area,562,1.0
system_wide_balancing_area,563,1.0
system_wide_balancing_area,564,1.0
system_wide_balancing_area,565,1.0
system_wide_balancing_area,566,1.0
system_wide_balancing_area,567,1.0
system_wide_balancing_area,568,1.0
system_wide_balancing_area,569,1.0
system_wide_balancing_area,570,1.0
system_wide_balancing_area,571,1.0
system_wide_balancing_area,572,1.0
system_wide_balancing_area,573,1.0
system_wide_balancing_area,574,1.0
system_wide_balancing_area,575,1.0
system_wide_balancing_area,576,1.0
