PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,CapacityRequirements
system-planning,319,11483.167200795
system-planning,320,12669.112901904999
system-planning,321,13643.978231434998
system-planning,322,13871.326422055
system-planning,323,14318.08953669
system-planning,324,14107.009168444998
system-planning,325,13789.98732053
system-planning,326,13944.330965854999
system-planning,327,13952.665523464999
system-planning,328,13728.249862744999
system-planning,329,13952.665523464999
system-planning,330,14887.061951644999
system-planning,331,16105.141999254998
system-planning,332,15650.445621004998
system-planning,333,14253.018256504998
system-planning,334,12863.925451339996
system-planning,335,11320.488999010002
system-planning,336,10548.770773189997
system-planning,337,10344.86098787
system-planning,338,9913.82511304
system-planning,339,9605.942345025001
system-planning,340,10221.707879904998
system-planning,341,10675.219195804999
system-planning,342,11080.454495299999
system-planning,343,11453.23894932
system-planning,344,12636.093755064998
system-planning,345,13608.418322204998
system-planning,346,13835.173979579999
system-planning,347,14280.77271059
system-planning,348,14070.242474055
system-planning,349,13754.046871929999
system-planning,350,13907.988254959999
system-planning,351,13916.301089874998
system-planning,352,13692.470318235
system-planning,353,13916.301089874998
system-planning,354,14848.262226649998
system-planning,355,16063.167626694998
system-planning,356,15609.656311255
system-planning,357,14215.871022285
system-planning,358,12830.398568345
system-planning,359,11290.98473103
system-planning,360,10521.277813579998
system-planning,361,10250.07690434
system-planning,362,9822.990366409998
system-planning,363,9517.928554260001
system-planning,364,10128.052180055
system-planning,365,10577.408229589999
system-planning,366,10978.930587679997
system-planning,367,11348.299430034998
system-planning,368,12520.316407389999
system-planning,369,13483.732118304999
system-planning,370,13708.410142669998
system-planning,371,14149.92610481
system-planning,372,13941.324837795
system-planning,373,13628.02635592
system-planning,374,13780.557263029998
system-planning,375,13788.793930569998
system-planning,376,13567.013994065
system-planning,377,13788.793930569998
system-planning,378,14712.216038239998
system-planning,379,15915.989949919998
system-planning,380,15466.63390211
system-planning,381,14085.619073799997
system-planning,382,12712.84091763
system-planning,383,11187.53185527
system-planning,384,10424.877322825001
system-planning,385,11014.75672651
system-planning,386,10555.808531229999
system-planning,387,10227.988389739998
system-planning,388,10883.628671799997
system-planning,389,11366.507737915
system-planning,390,11797.984607269997
system-planning,391,12194.909234884997
system-planning,392,13454.361432255
system-planning,393,14489.650217954999
system-planning,394,14731.089751184996
system-planning,395,15205.543841055001
system-planning,396,14981.380429039998
system-planning,397,14644.709146259998
system-planning,398,14808.619216545001
system-planning,399,14817.47035887
system-planning,400,14579.14511672
system-planning,401,14817.47035887
system-planning,402,15809.781925550002
system-planning,403,17103.360200879997
system-planning,404,16620.481133039997
system-planning,405,15136.439356309997
system-planning,406,13661.248723054998
system-planning,407,12022.148018594999
system-planning,408,11202.597668434999
system-planning,409,10858.68138646
system-planning,410,10406.236328710002
system-planning,411,10083.061287804998
system-planning,412,10729.41137111
system-planning,413,11205.448206785
system-planning,414,11630.811194864998
system-planning,415,12022.111534845
system-planning,416,13263.717725279997
system-planning,417,14284.336824974998
system-planning,418,14522.355241835001
system-planning,419,14990.086480465
system-planning,420,14769.099385584997
system-planning,421,14437.198619169998
system-planning,422,14598.786140485
system-planning,423,14607.511865535
system-planning,424,14372.563610460002
system-planning,425,14607.511865535
system-planning,426,15585.76271698
system-planning,427,16861.011427855003
system-planning,428,16384.974592409995
system-planning,429,14921.961180585002
system-planning,430,13467.673496225001
system-planning,431,11851.79828848
system-planning,432,11043.860686159998
system-planning,433,10853.834105525
system-planning,434,10401.591017444998
system-planning,435,10078.56024036
system-planning,436,10724.62179453
system-planning,437,11200.446129065
system-planning,438,11625.619237194998
system-planning,439,12016.74490241
system-planning,440,13257.796845629999
system-planning,441,14277.960342119999
system-planning,442,14515.8725091
system-planning,443,14983.394953154999
system-planning,444,14762.506506195
system-planning,445,14430.75389865
system-planning,446,14592.269288514997
system-planning,447,14600.991117479998
system-planning,448,14366.147743554999
system-planning,449,14600.991117479998
system-planning,450,15578.80528046
system-planning,451,16853.484726155
system-planning,452,16377.660390699999
system-planning,453,14915.300063759998
system-planning,454,13461.661568315
system-planning,455,11846.507683119999
system-planning,456,11038.93074058
system-planning,457,10866.641226574999
system-planning,458,10413.864509399998
system-planning,459,10090.45256769
system-planning,460,10737.276450304998
system-planning,461,11213.66224037
system-planning,462,11639.337037724998
system-planning,463,12030.92421611
system-planning,464,13273.440551505
system-planning,465,14294.8078044
system-planning,466,14533.00069903
system-planning,467,15001.074801074998
system-planning,468,14779.92571616
system-planning,469,14447.781653675
system-planning,470,14609.487623955001
system-planning,471,14618.219745535
system-planning,472,14383.099265309997
system-planning,473,14618.219745535
system-planning,474,15597.187691669998
system-planning,475,16873.371214085
system-planning,476,16396.985422294998
system-planning,477,14932.89956417
system-planning,478,13477.545828774999
system-planning,479,11860.4861231
system-planning,480,11051.95626917
system-planning,481,11693.989254314998
system-planning,482,11206.739703014999
system-planning,483,10858.704308144997
system-planning,484,11554.775097884998
system-planning,485,12067.431233714999
system-planning,486,12525.515419619998
system-planning,487,12946.916675294999
system-planning,488,14284.033858739998
