GENERATION_PROJECT;gen_tech;gen_load_zone;gen_connect_cost_per_mw;gen_capacity_limit_mw;gen_full_load_heat_rate;gen_variable_om;gen_max_age;gen_min_build_capacity;gen_scheduled_outage_rate;gen_forced_outage_rate;gen_is_variable;gen_is_baseload;gen_is_cogen;gen_energy_source;gen_unit_size;gen_ccs_capture_efficiency;gen_ccs_energy_load;gen_storage_efficiency;gen_store_to_release_ratio
GUANAQUITAS;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
BARROSO;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
ALEJANDRIA;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
ELPOPAL;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
CANA;Menores;VALLE;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MORRO_AZUL;Menores;CQR;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
PROVIDENCIA;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
URRA;Hidro;COR-SUC;0;.;.;37.35;80;0;0.0918;0.0036;0;0;0;Water;.;.;.;.;.
GUATAPE;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.0516;0.0113;0;0;0;Water;.;.;.;.;.
JAGUAS;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.1601;0.006;0;0;0;Water;.;.;.;.;.
PLAYAS;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.1034;0.0101;0;0;0;Water;.;.;.;.;.
SAN_CARLOS;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.0573;0.0017;0;0;0;Water;.;.;.;.;.
CALDERAS;Hidro;ANT-CHO;0;.;.;0;80;0;0.38;0.38;0;0;0;Water;.;.;.;.;.
NECHI;Hidro;ANT-CHO;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
PAJARITO;Hidro;ANT-CHO;0;.;.;0;80;0;0.38;0.38;0;0;0;Water;.;.;.;.;.
DOLORES;Hidro;ANT-CHO;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
MIRAFLORES;Hidro;ANT-CHO;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
TENCHE;Hidro;ANT-CHO;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
TRONERAS;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.0304;0.0112;0;0;0;Water;.;.;.;.;.
GUADALUPE_3;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.0934;0.0175;0;0;0;Water;.;.;.;.;.
GUADALUPE_4;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.214;0.0968;0;0;0;Water;.;.;.;.;.
LA_TASAJERA;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.0241;0.0028;0;0;0;Water;.;.;.;.;.
QUEBRADONA;Hidro;ANT-CHO;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
RIOGRANDE_1;Hidro;ANT-CHO;0;.;.;0;80;0;0.38;0.38;0;0;0;Water;.;.;.;.;.
CHINCHINA;Hidro;CQR;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
CAMPOALEGRE;Hidro;CQR;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
INSULA;Hidro;CQR;0;.;.;0;80;0;0.38;0.38;0;0;0;Water;.;.;.;.;.
ESTRELLA;Hidro;CQR;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
ESMERALDA;Hidro;CQR;0;.;.;37.35;80;0;0.1243;0.0218;0;0;0;Water;.;.;.;.;.
