GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_min_load_fraction,gen_startup_fuel,gen_startup_om,gen_min_downtime,gen_can_provide_spinning_reserves
PV-COR-SUC,pv-solar,COR-SUC,0,1800,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-GCM,pv-solar,GCM,0,4200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-NSANT,pv-solar,NSANT,0,200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-BOY-CAS,pv-solar,BOY-CAS,0,200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-SANT-ARA,pv-solar,SANT-ARA,0,400,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-MET-GUAV,pv-solar,MET-GUAV,0,100,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-BOG-CUN,pv-solar,BOG-CUN,0,0,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
WN-HTC,Eolica,HTC,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-CAUCA,Eolica,CAUCA,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-NAR-PUT,Eolica,NAR-PUT,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-VALLE,Eolica,VALLE,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-CQR,Eolica,CQR,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-ANT-CHO,Eolica,ANT-CHO,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-BOLIVAR,Eolica,BOLIVAR,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-ATLANTICO,Eolica,ATLANTICO,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-COR-SUC,Eolica,COR-SUC,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-GCM,Eolica,GCM,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-NSANT,Eolica,NSANT,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-BOY-CAS,Eolica,BOY-CAS,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-SANT-ARA,Eolica,SANT-ARA,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-MET-GUAV,Eolica,MET-GUAV,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-BOG-CUN,Eolica,BOG-CUN,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
HD-HTC,Hidro,HTC,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-CAUCA,Hidro,CAUCA,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-NAR-PUT,Hidro,NAR-PUT,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-VALLE,Hidro,VALLE,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-CQR,Hidro,CQR,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-ANT-CHO,Hidro,ANT-CHO,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-BOLIVAR,Hidro,BOLIVAR,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-ATLANTICO,Hidro,ATLANTICO,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-COR-SUC,Hidro,COR-SUC,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-GCM,Hidro,GCM,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-NSANT,Hidro,NSANT,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-BOY-CAS,Hidro,BOY-CAS,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-SANT-ARA,Hidro,SANT-ARA,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-MET-GUAV,Hidro,MET-GUAV,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-BOG-CUN,Hidro,BOG-CUN,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
