GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_min_load_fraction,gen_startup_fuel,gen_startup_om,gen_min_downtime,gen_can_provide_spinning_reserves
LA_GUACA,Hidro,BOG-CUN,0,.,.,0,80,0,0.0671,0.0097,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
LA_TASAJERA,Hidro,ANT-CHO,0,.,.,0,80,0,0.0241,0.0028,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
LAGUN-LIMON,Hidro,BOG-CUN,0,.,.,0,80,0,0.1,0.04,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
MIEL_I,Hidro,BOG-CUN,0,.,.,0,80,0,0.0914,0.0186,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
MIEL_II,Hidro,CQR,0,.,.,0,80,0,0.0914,0.0186,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
PAJARITO,Hidro,ANT-CHO,0,.,.,0,80,0,0.38,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
PARAISO,Hidro,BOG-CUN,0,.,.,0,80,0,0.0684,0.013,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
PESCADERO,Hidro,ANT-CHO,0,.,.,0,80,0,0.15,0.15,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
PLAYAS,Hidro,ANT-CHO,0,.,.,0,80,0,0.1034,0.0101,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
PORCE_II,Hidro,ANT-CHO,0,.,.,0,80,0,0.0174,0.0037,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
PORCE_III,Hidro,ANT-CHO,0,.,.,0,80,0,0.0908,0.0307,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
PRADO,Hidro,HTC,0,.,.,0,80,0,0.1455,0.0312,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
PRADO4,Hidro,HTC,0,.,.,0,80,0,0.38,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
RIOGRANDE_1,Hidro,ANT-CHO,0,.,.,0,80,0,0.38,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
SALTO_II,Hidro,BOG-CUN,0,.,.,0,80,0,0.15,0.15,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
SALVAJINA,Hidro,VALLE,0,.,.,0,80,0,0.1947,0.1376,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
SAN_CARLOS,Hidro,ANT-CHO,0,.,.,0,80,0,0.0573,0.0017,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
SAN_FRANCISCO,Hidro,CQR,0,.,.,0,80,0,0.3986,0.2301,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
SNMIGUEL,Hidro,ANT-CHO,0,.,.,0,80,0,0.1,0.1,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
SOGAMOSO,Hidro,SANT-ARA,0,.,.,0,80,0,0.15,0.15,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
TRONERAS,Hidro,ANT-CHO,0,.,.,0,80,0,0.0304,0.0112,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
TUNJITA,Hidro,BOG-CUN,0,.,.,0,80,0,0.35,0.35,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
URRA,Hidro,COR-SUC,0,.,.,0,80,0,0.0918,0.0036,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
AGUAFRESCA,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
ALEJANDRIA,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
AMAIME,Menores,VALLE,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
BARROSO,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
CANA,Menores,VALLE,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
CARUQUIA,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
ELPOPAL,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
GUANAQUITAS,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_ANTIOQUIA,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_CAUCANAR,Menores,CAUCA,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_CHARQUITO,Menores,BOG-CUN,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_CQR,Menores,CQR,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_EMGESA,Menores,BOG-CUN,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_EPM,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_EPM_HERR,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_EPM_VUEL,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_EPSA,Menores,VALLE,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_HUILA,Menores,HTC,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_Magallo,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_NARPUT,Menores,NAR-PUT,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_Naveta,Menores,BOG-CUN,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_NORDESTE,Menores,SANT-ARA,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_TEQUEN,Menores,BOG-CUN,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MEN_TOLIMA,Menores,HTC,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MONTANITAS,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
MORRO_AZUL,Menores,CQR,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
PROVIDENCIA,Menores,ANT-CHO,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
TULUA_ALTO,Menores,VALLE,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
TULUA_BAJO,Menores,VALLE,0,.,.,0,80,0,0.0573,0.213,0,1,0,RunofRiver,.,.,.,.,.,0,0,.,.,2,0
